category,brand,product_name,mpn,confidence
gpu,Sapphire,"Sapphire PULSE",11350-03-20G,high
gpu,PNY,"PNY OC",VCG507012TFXPB1-O,high
gpu,PNY,"PNY OC",VCG508016TFXPB1-O,high
gpu,Xfx,"XFX Swift OC",RX-96TSW16BQ,high
gpu,PNY,"PNY VCNRTXPRO6000B-PB",VCNRTXPRO6000B-PB,low
gpu,Sapphire,"Sapphire PULSE",11348-03-20G,high
gpu,Xfx,"XFX Speedster QICK 309",RX-76TQICKBP,high
gpu,Xfx,"XFX Swift",RX-97TSWF3B9,high
gpu,PNY,"PNY Dual Fan OC",VCG5060T8DFXPB1-O,high
gpu,Nvidia,"NVIDIA Founders Edition",GEFORCE-RTX-5090-FOUNDERS-EDITION,high
gpu,PNY,"PNY OC",VCG5070T16TFXPB1-O,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G142-2520-000,high
gpu,Xfx,"XFX Swift OC",RX-96TS316B7,high
gpu,Sapphire,"Sapphire NITRO+",11348-01-20G,high
gpu,Xfx,"XFX Speedster SWFT 210 Core",RX-76PSWFTFY,high
gpu,Xfx,"XFX Swift OC",RX-96TS316W7,high
gpu,Xfx,"XFX Swift OC",RX-96TSW8GWQ,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G144-2545-000,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G146-2570-000,high
gpu,Intel,"Intel Limited Edition",31P06HB0BA,high
gpu,Nvidia,"NVIDIA 900-5G144-2200-000",900-5G144-2200-000,low
gpu,PNY,"PNY ARGB EPIC-X RGB OC",VCG508016TFXXPB1-O,high
gpu,Xfx,"XFX Speedster MERC 310 Black Edition",RX-79XMERCB9,high
gpu,PNY,"PNY OC",VCG50608DFXPB1-O,high
gpu,Xfx,"XFX Mercury OC RGB",RX-97TRGBBB9,high
gpu,Xfx,"XFX Swift",RX-97TSWF3W9,high
gpu,Zotac,"Zotac Twin Edge",ZT-D40700E-10M,high
gpu,PNY,"PNY ARGB EPIC-X RGB OC",VCG507012TFXXPB1-O,high
gpu,PNY,"PNY ARGB EPIC-X RGB OC",VCG5070T16TFXXPB1-O,high
gpu,Sapphire,"Sapphire PURE",11348-02-20G,high
gpu,PNY,"PNY VCNRTXPRO6000BQ-PB",VCNRTXPRO6000BQ-PB,low
gpu,Sapphire,"Sapphire PULSE",11350-04-20G,high
gpu,Xfx,"XFX Quicksilver",RX-97TQICKB9,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G136-2530-000,high
gpu,Xfx,"XFX Swift OC",RX-97SWFB3B9,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G141-2560-000,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G133-2518-000,high
gpu,AMD,"AMD Radeon RX 6950 XT",100-438416,high
gpu,PNY,"PNY VCQ2000D-PB",VCQ2000DPB,high
gpu,Xfx,"XFX Swift OC",RX-97SWFT3B7,high
gpu,Sapphire,"Sapphire PULSE",11310-01-20G,high
gpu,Nvidia,"NVIDIA Founders Edition",9001G1422510000,high
gpu,EVGA,"EVGA FTW3 ULTRA GAMING",10G-P5-3897-KR,high
gpu,Zotac,"Zotac Twin Edge OC",ZT-B50620H-10M,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G141-2544-000,high
gpu,Xfx,"XFX Swift OC",RX-96TSW16WQ,high
gpu,Xfx,"XFX GTS XXX",RX-580P8DFD6,high
gpu,Sapphire,"Sapphire PULSE OC",11354-01-20G,high
gpu,Nvidia,"NVIDIA Founders Edition",9001G1332530000,high
gpu,Zotac,"Zotac GAMING SOLID OC",ZT-B50700J-10P,high
gpu,Zotac,"Zotac SOLID SFF OC",ZT-B50710J3-10P,high
gpu,Sapphire,"Sapphire PURE",11350-02-20G,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G180-2515-000,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G136-2560-000,high
gpu,PNY,"PNY Slim OC",VCG508016DFSXPB1-O,high
gpu,Xfx,"XFX Quicksilver 2",RX-97TQICKBA,high
gpu,Sapphire,"Sapphire PULSE",11349-03-20G,high
gpu,Zotac,"Zotac GAMING SOLID CORE OC",ZT-B50800J2-10P,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G141-2534-000,high
gpu,Xfx,"XFX RX-79TMBABF9",RX-79TMBABF9,low
gpu,Nvidia,"NVIDIA Founders Edition",900-1G136-2510-000,high
gpu,Xfx,"XFX Mercury OC RGB",RX-97TRGBBW9,high
gpu,EVGA,"EVGA XC3 ULTRA GAMING",08G-P5-3755-KR,high
gpu,EVGA,"EVGA KO ULTRA GAMING",06G-P4-2068-KR,high
gpu,Nvidia,"NVIDIA 900-5G153-2200-000",900-5G153-2200-000,low
gpu,EVGA,"EVGA FTW3 ULTRA GAMING",24G-P5-3987-KR,high
gpu,Sapphire,"Sapphire NITRO+",11322-01-20G,high
gpu,Xfx,"XFX Swift OC",RX-97SWFB3W9,high
gpu,Sapphire,"Sapphire PULSE",11306-02-20G,high
gpu,PNY,"PNY Dual Fan OC",VCG5060T16DFXPB1-O,high
gpu,Xfx,"XFX Speedster SWFT 309",RX-67XTYJFDV,high
gpu,Xfx,"XFX Speedster MERC 310 Black Edition",RX-79TMERCB9,high
gpu,Xfx,"XFX Mercury OC Magnetic Air RGB",RX-97TMARGB9,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G143-2515-000,high
gpu,Intel,"Intel 33P6PEB0BB",33P6PEB0BB,low
gpu,PNY,"PNY VCNRTX6000ADA-PB",VCNRTX6000ADA-PB,low
gpu,EVGA,"EVGA FTW3 ULTRA GAMING LE iCX3",12G-P5-3967-KR,high
gpu,Intel,"Intel 33P01IB0BB",33P01IB0BB,low
gpu,PNY,"PNY VCG508016TFXPB1",VCG508016TFXPB1,low
gpu,Xfx,"XFX Speedster SWFT 210",RX-66XL8LFDQ,high
gpu,Sapphire,"Sapphire PULSE",11324-01-20G,high
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-A30600H-10M,high
gpu,Sapphire,"Sapphire NITRO+",11350-01-20G,high
gpu,EVGA,"EVGA FTW3 ULTRA GAMING",08G-P5-3797-KL,high
gpu,AMD,"AMD 100-300000120",100-300000120,low
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-B50600H-10M,high
gpu,Xfx,"XFX Speedster QICK 319 Core",RX-78TQICKF9,high
gpu,Xfx,"XFX Swift",RX-97GRE29B7,high
gpu,Zotac,"Zotac Twin Edge OC",ZT-B50610H-10M,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G160-2565-000,high
gpu,Zotac,"Zotac GAMING SOLO",ZT-B50600G-10L,high
gpu,Xfx,"XFX Speedster QICK 319 Core",RX-675XYJFDP,high
gpu,Xfx,"XFX Speedster SWFT 319",RX-68XLAQFD9,high
gpu,Nvidia,"NVIDIA Founders Edition",9001G4132500001,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G136-2555-000,high
gpu,EVGA,"EVGA XC GAMING",12G-P5-3657-KR,high
gpu,Xfx,"XFX Speedster MERC 319 Black",RX-78TMERCB9,high
gpu,Zotac,"Zotac GAMING Twin Edge",ZT-B50700E-10P,high
gpu,EVGA,"EVGA SC GAMING ACX 3.0",08G-P4-6173-KR,high
gpu,Xfx,"XFX Swift OC",RX-96TSW8GBQ,high
gpu,Xfx,"XFX Speedster MERC 319 CORE",RX-68XTALFD9,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G150-2530-000,high
gpu,Sapphire,"Sapphire PULSE",11330-02-20G,high
gpu,Xfx,"XFX Speedster QICK 319 BLACK",RX-77TQICKB9,high
gpu,EVGA,"EVGA FTW3 ULTRA GAMING",08G-P5-3767-KR,high
gpu,AMD,"AMD RADEON PRO WX 5100",RADEON-PRO-WX-5100,low
gpu,AMD,"AMD 100-438385",100-438385,low
gpu,PNY,"PNY VCG507012TFXPB1",VCG507012TFXPB1,low
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-A30610H-10MLHR,high
gpu,AMD,"AMD 100-300000082",100-300000082,low
gpu,Zotac,"Zotac GAMING SOLID OC",ZT-B50900J-10P,high
gpu,Xfx,"XFX Swift",RX-97GRE29W7,high
gpu,EVGA,"EVGA BLACK GAMING",08G-P4-3081-KR,high
gpu,Zotac,"Zotac Solid Core OC",ZT-B50710Q2-10P,high
gpu,Sapphire,"Sapphire PULSE",11323-02-20G,high
gpu,EVGA,"EVGA XC3 ULTRA GAMING",10G-P5-3885-KR,high
gpu,Nvidia,"NVIDIA 9001G4112520001",9001G4112520001,low
gpu,Sapphire,"Sapphire PULSE",11322-02-20G,high
gpu,Xfx,"XFX Speedster SWFT 210 Core",RX-665X8DFDY,high
gpu,Nvidia,"NVIDIA Founders Edition",9001G1362505000,high
gpu,Intel,"Intel Limited Edition",99AM3D,high
gpu,Zotac,"Zotac Solid OC",ZT-B50800Q-10P,high
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-B50700H-10P,high
gpu,Xfx,"XFX Mercury OC Magnetic Air RGB",RX-97TMARGW9,high
gpu,PNY,"PNY VCQP600-PB",VCQP600-PB,low
gpu,Sapphire,"Sapphire NITRO+",11330-01-20G,high
gpu,Xfx,"XFX Quicksilver",RX-97TQICKW9,high
gpu,Sapphire,"Sapphire PULSE",11265-05,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G160-2540-000,high
gpu,Zotac,"Zotac GAMING SOLID CORE",ZT-B50800D2-10P,high
gpu,Sapphire,"Sapphire NITRO+",11304-02-20G,high
gpu,Zotac,"Zotac Twin Edge",ZT-D40720E-10M,high
gpu,EVGA,"EVGA SC2",11G-P4-6593-KR,high
gpu,PNY,"PNY VERTO OC",VCG4070S12DFXPB1-O,high
gpu,PNY,"PNY OC",VCG509032TFXPB1-O,high
gpu,Zotac,"Zotac GAMING Twin Fan",ZT-T16620F-10L,high
gpu,Xfx,"XFX Speedster MERC 310",RX-79TMERCU9,high
gpu,Xfx,"XFX Mercury OC",RX-96TMERCB9,high
gpu,PNY,"PNY VCG50508SFXPB1",VCG50508SFXPB1,low
gpu,Xfx,"XFX Speedster QICK 319 BLACK",RX-67XTYPBDP,high
gpu,Zotac,"Zotac Twin Edge OC",ZT-D40600H-10M,high
gpu,Sapphire,"Sapphire NITRO+",11293-03-40G,high
gpu,Nvidia,"NVIDIA Founders Edition",GEFORCE-GTX-1060-6GB-FOUNDERS-EDITION,high
gpu,Zotac,"Zotac GAMING SOLID",ZT-B50700D-10P,high
gpu,Zotac,"Zotac GAMING APOCALYPSE OC",ZT-B50800C-10P,high
gpu,EVGA,"EVGA Founders Edition",11G-P4-6390-KR,high
gpu,EVGA,"EVGA BLACK GAMING",08G-P4-3071-KR,high
gpu,Zotac,"Zotac GAMING Low Profile",ZT-B50600L-10L,high
gpu,Sapphire,"Sapphire PURE",11349-02-20G,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G180-2500-000,high
gpu,PNY,"PNY EPIC-X RGB OC",VCG5060T8TFXXPB1-O,high
gpu,EVGA,"EVGA XC GAMING",08G-P5-3663-KR,high
gpu,PNY,"PNY RTX A-Series",VCNRTXA6000-PB,high
gpu,Xfx,"XFX RX-79GMERCB9",RX-79GMERCB9,low
gpu,EVGA,"EVGA XC3 ULTRA GAMING",08G-P5-3785-KL,high
gpu,Zotac,"Zotac GAMING AMP Extreme INFINITY",ZT-B50800B-10P,high
gpu,Zotac,"Zotac GAMING AMP Extreme INFINITY",ZT-B50900B-10P,high
gpu,AMD,"AMD 100-505999",100-505999,low
gpu,Xfx,"XFX Speedster MERC 319",RX-695XATBD9,high
gpu,EVGA,"EVGA SC GAMING",06G-P4-6163-KR,high
gpu,Zotac,"Zotac GAMING",ZT-T16610F-10L,high
gpu,Sapphire,"Sapphire PULSE",11335-04-20G,high
gpu,PNY,"PNY Founders Edition",VCGGTX1080T11PB-FE,high
gpu,Xfx,"XFX Speedster QICK 308 Black",RX-66XT8LBDQ,high
gpu,Xfx,"XFX Speedster SWFT 210",RX-76TSWFTFP,high
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-B50500H-10M,high
gpu,PNY,"PNY VERTO",VCG409024TFXPB1,high
gpu,EVGA,"EVGA SC GAMING ACX 3.0 Black Edition",08G-P4-5671-KR,high
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-D40610Q-10M,high
gpu,AMD,"AMD 50th Anniversary",102-D18206,high
gpu,PNY,"PNY VCG50508DFXPB1",VCG50508DFXPB1,low
gpu,PNY,"PNY VERTO",VCG40608DFXPB1,high
gpu,Xfx,"XFX Swift",RX-97GRE29BA,high
gpu,Sapphire,"Sapphire PURE",11330-03-20G,high
gpu,Xfx,"XFX Speedster SWFT 105",RX-64XL4SFG2,high
gpu,EVGA,"EVGA FTW3 ULTRA GAMING",24G-P5-4985-KR,high
gpu,Xfx,"XFX Speedster SWFT 309",RX-67XLKWFDV,high
gpu,Zotac,"Zotac GAMING Trinity OC",ZT-D40710J-10P,high
gpu,Zotac,"Zotac GAMING Trinity OC",ZT-A30800J-10P,high
gpu,AMD,"AMD 100-300000053",100-300000053,low
gpu,Zotac,"Zotac Twin Edge OC",ZT-A30610H-10M,high
gpu,Sapphire,"Sapphire PULSE",11293-01-20G,high
gpu,PNY,"PNY Slim OC",VCG507012DFSXPB1-O,high
gpu,Sapphire,"Sapphire NITRO+",11306-01-20G,high
gpu,PNY,"PNY VCNRTX2000ADA-PB",VCNRTX2000ADA-PB,low
gpu,Zotac,"Zotac GAMING",ZT-T16600F-10L,high
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-A30700H-10P,high
gpu,PNY,"PNY EPIC-X RGB OC",VCG509032TFXXPB1-O,high
gpu,PNY,"PNY EPIC-X RGB Triple Fan Plus OC",VCG5071T16TFXXPB1-O,high
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-B50620Q-10M,high
gpu,Sapphire,"Sapphire PULSE",11319-03-20G,high
gpu,Xfx,"XFX Swift OC",RX-96TS316BA,high
gpu,Zotac,"Zotac GAMING SOLID CORE OC",ZT-B50710J2-10P,high
gpu,PNY,"PNY VCQP620-PB",VCQP620-PB,low
gpu,Sapphire,"Sapphire PULSE",11339-04-20G,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G180-2540-000,high
gpu,PNY,"PNY VERTO",VCG4070T12TFXPB1,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G611-2550-000,high
gpu,Sapphire,"Sapphire NITRO+",11265-01,high
gpu,PNY,"PNY Slim OC",VCG5070T16DFSXPB1-O,high
gpu,Xfx,"XFX Quicksilver Magnetic Air",RX-97TMAQKW9,high
gpu,Nvidia,"NVIDIA TITAN RTX",900-1G150-2500-000-SB,high
gpu,PNY,"PNY VERTO OC",VCG4080S16TFXPB1-O,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G411-2510-000,high
gpu,Xfx,"XFX Swift",RX-97TSWF3BA,high
gpu,Intel,"Intel Limited Edition",99AK3T,high
gpu,Xfx,"XFX RX-570P8DFD6",RX-570P8DFD6,low
gpu,Zotac,"Zotac GAMING Trinity OC",ZT-A30900J-10P,high
gpu,Zotac,"Zotac GAMING AMP",ZT-B50700FQ-10P,high
gpu,PNY,"PNY Triple Fan Plus OC",VCG5071T16TFXPB1-O,high
gpu,AMD,"AMD RADEON PRO WX 7100",RADEON-PRO-WX-7100,low
gpu,Zotac,"Zotac GAMING AMP Holo",ZT-A30710F-10P,high
gpu,EVGA,"EVGA FTW3 ULTRA GAMING",12G-P5-4877-KL,high
gpu,PNY,"PNY RTX A-Series",VCNRTXA4000-PB,high
gpu,Zotac,"Zotac GAMING SOLO",ZT-A30510G-10L,high
gpu,PNY,"PNY VCQRTX4000-PB",VCQRTX4000-PB,low
gpu,Zotac,"Zotac GAMING AMP Extreme INFINITY",ZT-B50710B-10P,high
gpu,Xfx,"XFX Speedster SWFT 210",RX-66XT8DFDQ,high
gpu,AMD,"AMD Midnight Black",100-438400,high
gpu,Xfx,"XFX Speedster SWFT 210 Core",RX-77TSWFTFP,high
gpu,EVGA,"EVGA FTW3 ULTRA GAMING",08G-P5-3667-KL,high
gpu,AMD,"AMD 100-300000074",100-300000074,low
gpu,Sapphire,"Sapphire NITRO+",11349-01-20G,high
gpu,Nvidia,"NVIDIA Founders Edition",900-1G160-2550-000,high
gpu,AMD,"AMD 100-506095",100-506095,low
gpu,AMD,"AMD RADEON PRO WX 4100",RADEON-PRO-WX-4100,low
gpu,Zotac,"Zotac GAMING SOLO",ZT-D40600G-10L,high
gpu,Nvidia,"NVIDIA 9001G4012510000",9001G4012510000,low
gpu,AMD,"AMD 100-438412",100-438412,low
gpu,Sapphire,"Sapphire PURE",11335-03-20G,high
gpu,EVGA,"EVGA FTW3 ULTRA GAMING LHR",10G-P5-3897-KL,high
gpu,Xfx,"XFX THICC III Ultra",RX-57XT8TBD8,high
gpu,AMD,"AMD 100-300000071",100-300000071,low
gpu,Xfx,"XFX GTS",RX-580P8DBD6,high
gpu,PNY,"PNY XLR8 Gaming VERTO EPIC-X RGB OC",VCG408016TFXXPB1-O,high
gpu,AMD,"AMD 100-506115",100-506115,low
gpu,PNY,"PNY VCQRTX8000-PB",VCQRTX8000-PB,low
gpu,Zotac,"Zotac GAMING AMP",ZT-A30600F-10P,high
gpu,Xfx,"XFX FATBOY OC+",RX-590P8DFD6,high
gpu,Zotac,"Zotac GAMING AMP",ZT-B50600F-10M,high
gpu,Xfx,"XFX Mercury",RX-97TMERCB9,high
gpu,Zotac,"Zotac GAMING Twin Edge OC",ZT-A30700H-10PLHR,high
gpu,Xfx,"XFX Speedster MERC 319 Black",RX-675XYTBDP,high
gpu,Sapphire,"Sapphire NITRO+",11309-01-20G,high
gpu,Zotac,"Zotac GAMING SOLID OC",ZT-B50900Q-10P,high
gpu,EVGA,"EVGA SC ULTRA GAMING",06G-P4-1667-KR,high
gpu,Xfx,"XFX Speedster MERC 319 Black",RX-69XTATBD9,high
