category,slug,brand,name,productCode,gtin,source,status
cpu,amd-ryzen-3-3100,AMD,AMD Ryzen 3 3100,,,,needs-sourcing
cpu,amd-ryzen-3-3300x,AMD,AMD Ryzen 3 3300X,,,,needs-sourcing
cpu,amd-ryzen-5-3600,AMD,AMD Ryzen 5 3600,,,,needs-sourcing
cpu,amd-ryzen-5-3600x,AMD,AMD Ryzen 5 3600X,,,,needs-sourcing
cpu,amd-ryzen-5-3600xt,AMD,AMD Ryzen 5 3600XT,,,,needs-sourcing
cpu,amd-ryzen-7-3700x,AMD,AMD Ryzen 7 3700X,,,,needs-sourcing
cpu,amd-ryzen-7-3800x,AMD,AMD Ryzen 7 3800X,,,,needs-sourcing
cpu,amd-ryzen-7-3800xt,AMD,AMD Ryzen 7 3800XT,,,,needs-sourcing
cpu,amd-ryzen-9-3900x,AMD,AMD Ryzen 9 3900X,,,,needs-sourcing
cpu,amd-ryzen-9-3900xt,AMD,AMD Ryzen 9 3900XT,,,,needs-sourcing
cpu,amd-ryzen-9-3950x,AMD,AMD Ryzen 9 3950X,,,,needs-sourcing
cpu,amd-ryzen-5-5500,AMD,AMD Ryzen 5 5500,,,,needs-sourcing
cpu,amd-ryzen-5-5600,AMD,AMD Ryzen 5 5600,,,,needs-sourcing
cpu,amd-ryzen-5-5600x,AMD,AMD Ryzen 5 5600X,,,,needs-sourcing
cpu,amd-ryzen-7-5700x,AMD,AMD Ryzen 7 5700X,,,,needs-sourcing
cpu,amd-ryzen-7-5700x3d,AMD,AMD Ryzen 7 5700X3D,,,,needs-sourcing
cpu,amd-ryzen-7-5800x,AMD,AMD Ryzen 7 5800X,,,,needs-sourcing
cpu,amd-ryzen-7-5800x3d,AMD,AMD Ryzen 7 5800X3D,,,,needs-sourcing
cpu,amd-ryzen-9-5900x,AMD,AMD Ryzen 9 5900X,,,,needs-sourcing
cpu,amd-ryzen-9-5950x,AMD,AMD Ryzen 9 5950X,,,,needs-sourcing
cpu,amd-ryzen-5-5600g,AMD,AMD Ryzen 5 5600G,,,,needs-sourcing
cpu,amd-ryzen-7-5700g,AMD,AMD Ryzen 7 5700G,,,,needs-sourcing
cpu,amd-ryzen-5-7500f,AMD,AMD Ryzen 5 7500F,,,,needs-sourcing
cpu,amd-ryzen-5-7600,AMD,AMD Ryzen 5 7600,,,,needs-sourcing
cpu,amd-ryzen-5-7600x,AMD,AMD Ryzen 5 7600X,,,,needs-sourcing
cpu,amd-ryzen-7-7700,AMD,AMD Ryzen 7 7700,,,,needs-sourcing
cpu,amd-ryzen-7-7700x,AMD,AMD Ryzen 7 7700X,,,,needs-sourcing
cpu,amd-ryzen-7-7800x3d,AMD,AMD Ryzen 7 7800X3D,,,,needs-sourcing
cpu,amd-ryzen-9-7900,AMD,AMD Ryzen 9 7900,,,,needs-sourcing
cpu,amd-ryzen-9-7900x,AMD,AMD Ryzen 9 7900X,,,,needs-sourcing
cpu,amd-ryzen-9-7900x3d,AMD,AMD Ryzen 9 7900X3D,,,,needs-sourcing
cpu,amd-ryzen-9-7950x,AMD,AMD Ryzen 9 7950X,,,,needs-sourcing
cpu,amd-ryzen-9-7950x3d,AMD,AMD Ryzen 9 7950X3D,,,,needs-sourcing
cpu,amd-ryzen-5-8500g,AMD,AMD Ryzen 5 8500G,,,,needs-sourcing
cpu,amd-ryzen-5-8600g,AMD,AMD Ryzen 5 8600G,,,,needs-sourcing
cpu,amd-ryzen-7-8700g,AMD,AMD Ryzen 7 8700G,,,,needs-sourcing
cpu,amd-ryzen-5-9600x,AMD,AMD Ryzen 5 9600X,,,,needs-sourcing
cpu,amd-ryzen-7-9700x,AMD,AMD Ryzen 7 9700X,,,,needs-sourcing
cpu,amd-ryzen-7-9800x3d,AMD,AMD Ryzen 7 9800X3D,,,,needs-sourcing
cpu,amd-ryzen-9-9900x,AMD,AMD Ryzen 9 9900X,,,,needs-sourcing
cpu,amd-ryzen-9-9900x3d,AMD,AMD Ryzen 9 9900X3D,,,,needs-sourcing
cpu,amd-ryzen-9-9950x,AMD,AMD Ryzen 9 9950X,,,,needs-sourcing
cpu,amd-ryzen-9-9950x3d,AMD,AMD Ryzen 9 9950X3D,,,,needs-sourcing
cpu,intel-core-i3-10100,Intel,Intel Core i3-10100,,,,needs-sourcing
cpu,intel-core-i5-10400,Intel,Intel Core i5-10400,,,,needs-sourcing
cpu,intel-core-i5-10400f,Intel,Intel Core i5-10400F,,,,needs-sourcing
cpu,intel-core-i5-10600k,Intel,Intel Core i5-10600K,,,,needs-sourcing
cpu,intel-core-i7-10700,Intel,Intel Core i7-10700,,,,needs-sourcing
