category,product_name,mpn,confidence
GPU,Gigabyte GAMING OC,GV-R9060XTGAMING-OC-16GD,high
GPU,Gigabyte GAMING OC,GV-R9070XTGAMING-OC-16GD,high
GPU,Gigabyte WINDFORCE OC,GV-N5060WF2OC-8GD,high
GPU,Gigabyte WINDFORCE OC SFF,GV-N5070WF3OC-12GD,high
GPU,Sapphire PULSE,11350-03-20G,high
GPU,Asus DUAL OC,DUAL-RTX5060TI-O16G,high
GPU,Asus ROG Astral OC,ROG-ASTRAL-RTX5090-O32G-GAMING,high
GPU,PNY OC,VCG507012TFXPB1-O,high
GPU,MSI SHADOW 3X OC,G507T-16S3C,high
GPU,PowerColor Reaper,RX9070XT-16G-A,high
GPU,PNY OC,VCG508016TFXPB1-O,high
GPU,Asus PRIME OC,PRIME-RX9070XT-O16G,high
GPU,XFX Swift OC,RX-96TSW16BQ,high
GPU,ASRock Challenger OC,RX7600-CL-8GO,high
GPU,ASRock Challenger OC,B580-CL-12GO,high
GPU,PNY VCNRTXPRO6000B-PB,VCNRTXPRO6000B-PB,low
GPU,ASRock Challenger OC,RX9060XT-CL-16GO,high
GPU,Asus PRIME,PRIME-RTX5070TI-16G,high
GPU,MSI VENTUS 2X OC,RTX-5060-8G-VENTUS-2X-OC,high
GPU,Sapphire PULSE,11348-03-20G,high
GPU,Gigabyte WINDFORCE OC,GV-N5050WF2OC-8GD,high
GPU,XFX Speedster QICK 309,RX-76TQICKBP,high
GPU,MSI GeForce RTX 3060 Ventus 2X 12G OC,RTX3060VENTUS2X12GOC,high
GPU,Gigabyte WINDFORCE OC SFF,GV-N5080WF3OC-16GD,high
GPU,MSI VENTUS 2X OC,RTX-3050-VENTUS-2X-6G-OC,high
GPU,PowerColor Reaper,RX9060XT-16G-A,high
GPU,MSI VENTUS 2X PLUS OC,RTX-5060-TI-8G-VENTUS-2X-OC-PLUS,high
GPU,Gigabyte GAMING OC ICE,GV-R907XGAMINGOCICE-16GD,high
GPU,XFX Swift,RX-97TSWF3B9,high
GPU,Asus ROG Astral OC,ROG-ASTRAL-RTX5080-O16G-GAMING,high
GPU,PNY Dual Fan OC,VCG5060T8DFXPB1-O,high
GPU,Gigabyte EAGLE OC SFF,GV-N5070EAGLEOC-ICE-12GD,high
GPU,ASRock Challenger,RX9070XT-CL-16G,high
GPU,Asus ROG Astral OC,ROG-ASTRAL-RTX5090-O32G-WHITE,high
GPU,Gigabyte WINDFORCE OC SFF,GV-N507TWF3OC-16GD,high
GPU,NVIDIA Founders Edition,GEFORCE-RTX-5090-FOUNDERS-EDITION,high
GPU,PNY OC,VCG5070T16TFXPB1-O,high
GPU,Asus PRIME OC,PRIME-RTX5070-O12G,high
GPU,Asus DUAL,DUAL-RX9060XT-16G,high
GPU,NVIDIA Founders Edition,900-1G142-2520-000,high
GPU,ASRock Challenger OC,RX7700XT-CL-12GO,high
GPU,XFX Swift OC,RX-96TS316B7,high
GPU,Asus DUAL OC,DUAL-RTX5060-O8G,high
GPU,Sapphire NITRO+,11348-01-20G,high
GPU,XFX Speedster SWFT 210 Core,RX-76PSWFTFY,high
GPU,PowerColor Reaper,RX9070-16G-A,high
GPU,Gigabyte GAMING OC,GV-N5080GAMING-OC-16GD,high
GPU,XFX Swift OC,RX-96TS316W7,high
GPU,ASRock Challenger,RX9070-CL-16G,high
GPU,Gigabyte GAMING OC,GV-R9060XTGAMING-OC-8GD,high
